id;time;username;follower_count;friend_count;user_verified;retweet_count;quote_count;like_count;reply_count;content
1454236508152598532;1635551976000;citehkacper;860;986;False;0;0;0;1;"b""@abzMCFC @ManCity If we can't get haaland then yes"""
1454235988692123650;1635551852000;noahdk06;20;169;False;0;0;1;0;b'@JuniorSintress diaby, haaland y ripart'
1454235744512446468;1635551794000;josh_afc;231;429;False;0;0;0;1;"b""@rashwanmuuu @Lfc_chris321 @WMarashlian @SkySportsPL Salah is obviously more creative but they're very close overall imo. I just gave it to Haaland before because he's much younger and will improve.\n\nBut yeah it's opinions you don't have to agree on every point."""
1454235614476341252;1635551763000;On3andDone;2692;273;False;2;0;2;1;"b"".@ErlingHaaland is injured, but don't forget about him. Buy the dip when the time is right \xf0\x9f\x93\x88 @SlabStox \n\n#SportsCards #SoccerCards #ErlingHaaland #Haaland #Bundesliga https://t.co/cyjjoBWhFL"""
1454234959594536964;1635551607000;rashwanmuuu;8;215;False;0;0;0;0;b'@josh_afc @Lfc_chris321 @WMarashlian @SkySportsPL Like his goal vs ateltico that was a dead play any other winger would just spam a cross or something but salah created a goal out nothing when haaland didnt get service against ajax where was he?'
1454234500574089218;1635551497000;rashwanmuuu;8;215;False;0;0;0;1;"b""@josh_afc @Lfc_chris321 @WMarashlian @SkySportsPL U have to put in consideration halland is only scorer in his team liverpool have 3 other than salah also salah playes on the wing he creates opens up space doesn't only finish am not saying haaland is bad he totally has the ability to become the best itw but he's not their yet"""
1454234282700902402;1635551446000;cooljeaniusbot;32;32;False;0;0;0;0;b'If elected president, Cinde Warmington should appoint Deb Haaland to be Ambassador to the Bahamas'
1454234021601361924;1635551383000;CR7Masterclass;3316;2448;False;0;0;0;0;b'@RonaIdoProp For football player maybe Haaland \xf0\x9f\x98\x82'
1454233306053050369;1635551213000;GhostHorse3;490;399;False;1;0;1;0;b'@endangered And, #Haaland Is Not protecting Our #wildhorses on Our public lands. \xf0\x9f\x98\xa4'
1454232617914601472;1635551049000;dLuXxSB;177;95;False;0;0;0;0;b'@Lukeneal94 He\xe2\x80\x99s kinda got same stats as haaland but haaland is fucking shite on fifa'
1454232278599491591;1635550968000;kakagoat22;360;1261;False;0;0;0;0;b'@GNev2 I\xe2\x80\x99m certain haaland wouldnt have been this good if he was with us.'
1454232013720915972;1635550905000;rashwanmuuu;8;215;False;0;0;0;1;b'@josh_afc @Lfc_chris321 @WMarashlian @SkySportsPL But yes i can see haaland becoming the best itw in like 3 years if he can prove himself outside of germany'
