id;time;username;follower_count;friend_count;user_verified;retweet_count;quote_count;like_count;reply_count;content
1459310007795728384;1636761593000;TurinTactician;982;670;False;0;0;0;0;"b""There were talks about Jorginho not getting chance in 2018 WC qualifiers and this time he's making it difficult \xf0\x9f\x98\x92\xf0\x9f\x98\x92"""
1459309862119043072;1636761558000;Nzekell;185;697;False;0;0;0;1;"b""@iamAbiodunAA Please when Modric won it, what was very special about him that is not there in Jorginho now. If Modric can, why can't Jorginho. The one talking about goals and assist, how many did Modric get when he won it. If Jorginho was in Madrid, y'all be supportive\xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f"""
1459309815726067713;1636761547000;TheKC91;540;2144;False;0;0;1;0;b'Jorginho misses his 3rd penalty in a row for Italy.\n\nPoor form that \xf0\x9f\x91\x80'
1459309023006801920;1636761358000;_huecoe;728;772;False;0;0;1;0;b'Needed a few moments to take in Jorginho\xe2\x80\x99s miss properly\xe2\x80\xa6'
1459308914600812545;1636761332000;gaunzzy;162;160;False;0;0;0;0;"b""lmao this is the Jorginho they wanted to give balon d'or?"""
1459308869369446402;1636761321000;tonylewis92;2673;5537;True;0;0;1;0;b'Dreadful penalty from Jorginho'
1459308791564963842;1636761303000;swissbusiness;88111;96802;False;0;0;0;0;b'Jorginho blazes late penalty over as Swiss hold Italy - https://t.co/UTu8wcQlmu https://t.co/LLO4BcUnvH'
1459308453860675590;1636761222000;Mustafa30398426;399;812;False;0;0;3;1;"b""Jorginho wasn't top 3 Chelsea players in there ucl run.\nWas no where near top 3 in the prem.\nAlmost cost his country the euros \nWasn't top 3 for Italy in Euros\nYet people say he deserves the ballon dor \xf0\x9f\xa4\x94\xf0\x9f\x98\x82"""
1459307974896361472;1636761108000;StuffSabSays;1563;778;False;0;0;1;1;b'@AlexGoldberg_ @CFCDaily Same people with your info this summer that all turned out wrong?\n\nCommon sense: Hysaj wasn\xe2\x80\x99t worth more than Jorginho, Napoli wouldn\xe2\x80\x99t turn down that money, interest is fluff in football, agents lie constantly to prop up their clients, we didn\xe2\x80\x99t invest to overhaul the squad.'
1459307834194075650;1636761074000;SportsbookBTC;27815;25393;False;0;0;0;0;"b'Di Lorenzo: \xe2\x80\x98I\xe2\x80\x99m pleased with the goal; Jorginho? We\xe2\x80\x99ll help him\xe2\x80\x99 https://t.co/ZdXrHvHHwW \xe2\x9f\xb6 via https://t.co/0I4IIflkwI https://t.co/wGbaqq1xD0'"
