id;time;username;follower_count;friend_count;user_verified;retweet_count;quote_count;like_count;reply_count;content
1464720982170644488;1638051670000;Futball_Karim;16056;631;False;44;13;346;5;b'Kjaer gonna keep following Suarez to his damn house at this point \n\nhttps://t.co/VYGMfX8kdr'
1464719932176928773;1638051419000;Futball_Karim;16056;631;False;4;2;134;1;"b'Kjaer &amp; alessio doing the pregame talk together \xf0\x9f\xa4\x9d\n\nhttps://t.co/mjYpzGgufu'"
1464695345275969546;1638045557000;carlosjsfc;263;269;False;0;0;0;0;b'@carrusel #CarruselBalondeOro \n\n1\xef\xb8\x8f\xe2\x83\xa3 K. Mbapp\xc3\xa9\n2\xef\xb8\x8f\xe2\x83\xa3 Bruno F.\n3\xef\xb8\x8f\xe2\x83\xa3 E. Haaland\n4\xef\xb8\x8f\xe2\x83\xa3 Donnarumma\n5\xef\xb8\x8f\xe2\x83\xa3 S. Kjaer'
1464672174799826946;1638040033000;thfc_soph;1999;1465;False;0;0;0;0;b'@AlessioTackle just pray that the fact that henderson respects kj\xc3\xa6r so much makes him throw the game \xf0\x9f\xa4\xa3'
1464667217707085826;1638038851000;bmthcult;1964;1575;False;0;0;0;1;b'@chalmerscrazia I guess that\xe2\x80\x99s good, so he isn\xe2\x80\x99t rushed back. Romagnoli-Kj\xc3\xa6r is fine, there\xe2\x80\x99s just no pace in that partnership which is my only concern.'
1464645915420078081;1638033772000;Atzo0112;35;177;False;0;0;0;0;b'@BadFutbolTakes Totaly forgot about @simonkjaer1989'
1464624478114168846;1638028661000;saanzero;1124;856;False;0;0;1;1;b'@Jomokau1 @MilanEye @SkySport Did you not see simon Kjaer saving us from a sure equaliser after your Bakayoko loose pass'
1464587958003159042;1638019954000;Fedeshi_;1253;251;False;0;0;0;1;b'@diavolisempre @xManuelVanacore No, Kjaer no, please'
1464574444739780608;1638016732000;RifatWahid7;11;691;False;0;0;0;0;b'Very good project . You have a great Team.\n\nI will support you to become the only king in the world.Very good project .\n\n@KHHNFT \n@simonkjaer1989 \n@BeingSalmanKhan \n\n$CVZ https://t.co/J3ppAUuecU'
1464573792777293827;1638016577000;corrado611;25;28;False;0;0;0;1;b'@SempreMilanCom @Gazzetta_it Romagnoli will play instead of Kjaer and Tatarusanu for Maignan IMO'
1464567431775629317;1638015060000;xxxnot0rious;88;132;False;0;0;0;0;b'@MattHDGamer Packed Kjaer \xf0\x9f\x98\x81'
1464564668249382914;1638014401000;Haych_IlI;2333;1179;False;0;0;12;1;b'It\xe2\x80\x99s between Simon Kjaer and Griezmann https://t.co/7oQTvcap9r'
1464557909187215367;1638012790000;RYOmoha;4567;194;False;1;0;7;2;"b""@_LaRue17 Now all of you are experts in rotation? Why not Kjaer Theo and Brahim then? Because they are simply too good.. Kalulu is much better than Florenzi and he didn't play full 90 this month."""
1464542458520424451;1638009106000;kenjisantv;4;30;False;0;0;0;0;b'@MilanEye @Gazzetta_it Kjaer needs some rest, Romagnoli is doing great and Kalulu should play not Florenzi.'
1464539938674941963;1638008505000;Acmilanfan1993;144;293;False;0;0;0;0;b'@SempreMilanCom @Gazzetta_it Rest kjaer and use romagnoli'
1464531617477808129;1638006521000;simonkjaergifs;141;57;False;0;1;2;0;b'Interview Simon #Kjaer before EURO 2020 \xe2\x86\x92 https://t.co/d0RwBbM1f7 https://t.co/2el5n3XPUF'
1464527434087374858;1638005524000;Maldinified;69;126;False;0;0;0;0;b'@keralista Bro. When there was no game pressure and in his first intro he started by trolling the squad for not playing CL. We also see Kjaer on the field. Imagine him in the locker room.'
1464526363621302278;1638005269000;davidlinder00;82;585;False;0;0;1;0;b'@MilanEye @Gazzetta_it Kjaer needs a rest'
1464521571951906816;1638004126000;BartekChelios;43;41;False;0;0;0;0;"b""@GodSaklek @AlMilanii @AhmadAbuRub9 @MilanEye @Gazzetta_it You can't compare Kalulu to Kjaer. Two different positions, two different roles."""
