id;time;username;follower_count;friend_count;user_verified;retweet_count;quote_count;like_count;reply_count;content
1458219029508739077;1636501483000;hisyam_wahyudi;168;350;False;0;0;0;0;b'@acmlock_ @Ibra_official @fikayotomori_ @simonkjaer1989 Izin save'
1458208135445876737;1636498886000;maryfotopoulou;496;1782;False;1;0;2;0;b'@simonkjaer1989 @dbulandshold @DBUfodbold @fbbillederdk @acmilan @acmilanbr @acmilanar @beckmikkel @larshendel good luck and enjoy the moment'
1458199860562337792;1636496913000;RipCT_Norb;100;251;False;0;0;1;0;b'@Stef_Sartori Tonali on 3rd, Tomori/Kjaer on away'
1458199025392439301;1636496714000;Smoje;2684;818;False;0;0;0;0;b'@BennaSaraa @RafaeLeao7 @Ibra_official Yeah I know :D but usually you go there like 2-3 times a season at least? I remember one time you and me were there at same time for Milan-Roma when Ibra still there and also Thiago Silva and Kjaer was playing for Roma... remember? :D'
1458198872652648449;1636496677000;Menez_18_;772;381;False;0;0;1;0;"b""@Stef_Sartori Have to give some love to Sandro as well\nHonestly I'd get Kjaer Tomori and Tonali just because I love them all"""
1458198538089902084;1636496598000;KuhaugeACM;25;94;False;0;0;1;0;b'@Stef_Sartori Bennacer for his winner away Shirt,and kjaer for all the ass saving he did'
1458196164830978051;1636496032000;hej_jegergreis;1387;568;False;0;0;2;1;b'@socios \xe2\x80\xa6 guess that if I continue saying \xe2\x80\x9cmeeting Simon Kj\xc3\xa6r\xe2\x80\x9d, you\xe2\x80\x99ll block me \xf0\x9f\x98\x82'
1458195070348406789;1636495771000;thfc_soph;2025;1473;False;0;0;2;1;b'@Stef_Sartori i\xe2\x80\x99m gonna be biased and say kj\xc3\xa6r and tomori lmao'
1458193729261645833;1636495451000;Stef_Sartori;1639;749;False;0;0;18;28;b'I still need to get printing done on my Away and 3rd kit for this season.\n\nStuck between picking two from: Rebic, Calabria, Bennacer, Tonali, Tomori, Ibrahimovic and Kjaer. \n\nHelp me \xf0\x9f\xa5\xb2'
1458182761605386244;1636492836000;RaymannTm;18;49;False;0;0;0;1;b'@CFCDaily Best player: Jorginho\nBest coach: Tuchel\nBest goal keeper: Edouard Mendy\nFair play award: kjaer (Denmark defender and captain)\nPuskas award: should be from the MLS \nFifa Fan Award: I think that Brentford small boy who congratulated the Brentford players after they beat arsenal'
1458182433053020167;1636492758000;acmalda;404;616;False;0;0;1;0;b'@barellacalcio If we payed donnaruma the 10m he wanted this means Theo tomori kjaer bennacer tonali and all the good players in the team will ask for the same wage and Milan definitely can\xe2\x80\x99t pay this much atm'
1458178475853062145;1636491814000;ogbonner;399;555;False;0;0;0;1;b'@whumako got inform kjaer after opening 20. find me a cliff'
1458169336024162312;1636489635000;minamies20;45;462;False;0;0;1;0;b'@PhilJonesySZN Where is Simon Kjaer'
1458168944213303302;1636489542000;RockfordIceTig;1;1;False;0;0;0;0;b'ROCKFORD GOALLL!!! Scored by Kjaer assisted by Jonathan Hacker timed at 16:39'
1458165298104659968;1636488673000;Rebel_ACM13;111;1299;False;0;0;0;0;b'MT spent more days sharing the clip of Kjaer giving off to Tata and making fun of him, but when he pulled a MOM performance....nada..\n\xf0\x9f\xa4\x90\nHope he carries this form.'
1458163664280768522;1636488283000;RockfordIceTig;1;1;False;0;0;0;0;b'Correction now Kjaer and Carlsson have been awarded assists on that goal'
1458162357704744960;1636487972000;RockfordIceTig;1;1;False;0;0;0;0;b'ROCKFORD GOALLL!!! Scored by Timothy Hacker assisted by Kjaer timed at 00:15'
1458161894464819200;1636487861000;Gianmau39081768;5;255;False;0;0;0;0;b'@simonkjaer1989 @dbulandshold @DBUfodbold @fbbillederdk @acmilan @acmilanbr @acmilanar @beckmikkel @larshendel Great man!!'
1458158427549716481;1636487035000;tomasonidiego;2695;544;False;0;0;2;0;b'@acmlock_ @Ibra_official @fikayotomori_ @simonkjaer1989 You make masterpieces only \xe2\x9d\xa4\xef\xb8\x8f'
1458156252849131520;1636486516000;Ali_Gh95;63;253;False;0;0;2;0;b'@acmlock_ @Ibra_official @fikayotomori_ @simonkjaer1989 In love with @fikayotomori_ reaction\xf0\x9f\xa5\xba\xf0\x9f\x91\xb9'
1458155979179167745;1636486451000;Menez_18_;772;381;False;0;0;5;1;"b""@Futball_Karim @FinallyKais Theo's penalties feel unsafe\nTonali or Simon are safer options\nMake Kjaer captain too"""
1458153699184893956;1636485907000;Futball_Karim;16081;628;False;2;0;118;9;b'we should make Kjaer our pen taker now \xf0\x9f\xa4\xa0\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'
1458151844232978442;1636485465000;MattiaItalo;130;224;False;0;0;0;0;b'@simonkjaer1989 @dbulandshold @DBUfodbold @fbbillederdk @acmilan @acmilanbr @acmilanar @beckmikkel @larshendel Keep safe and write us you\xe2\x80\x99re fine.'
1458149527945453589;1636484913000;RockfordIceTig;1;1;False;0;0;0;0;b'ROCKFORD GOALLL!!! Scored by Kjaer assisted by Timothy Hacker timed at 16:51'
1458146720056057857;1636484243000;sixtimes6969;22;103;False;0;0;0;1;b'@Oluhill @Alen63762222 @IFTVofficial i mean tomori and kj\xc3\xa6r miles ahead of him plus tomori is a youngster'
