id;time;username;follower_count;friend_count;user_verified;retweet_count;quote_count;like_count;reply_count;content
1443685699849424904;1633036467000;Chris__Quirk;723;1769;False;0;0;4;2;b'Rookie league is so difficult even with my good commons! Would love to see a few limited rewards added or something. Lautaro Martinez you absolute fraud scoring 41 ruining my chances #sorare https://t.co/qDV2n3cwaG'
1443627123344818182;1633022502000;intermilan;92711;1629;False;0;0;0;0;b'Inter Need Lautaro Martinez To Find A New Level This Season, Italian Media Report #InterMilan #FCIM https://t.co/39vDgXatpZ'
1443626208063889412;1633022283000;Sevillhia;1311;775;False;0;0;0;1;b'@Vblegend101 Lautaro Martinez, Kounde, Oliveira, Sommer'
1443622318777982978;1633021356000;InterWhatsup;39978;597;False;0;0;0;0;b'Inter Need Lautaro Martinez To Find A New Level This Season, Italian Media Report #InterMilan #FCIM https://t.co/qzF5pcMEdp'
1443621995262926856;1633021279000;SempreIntercom;29926;1081;False;1;0;0;0;b'Inter Need Lautaro Martinez To Find A New Level This Season, Italian Media Report #InterMilan #FCIM https://t.co/QfA6fghDzr'
1443615255972573193;1633019672000;SempreIntercom;29926;1081;False;8;0;11;1;b'Inter Need Lautaro Martinez To Find A New Level This Season, Italian Media Report https://t.co/aij23S28xu #IMInter #Nerazzurri #FCIM'
1443613364626804743;1633019221000;Remostikal;982;2336;False;0;0;1;0;"b""@Arrizabalager Werner can be Chelsea's Lautaro Martinez to Lukaku."""
1443609948366180359;1633018407000;danleydon;24838;482;False;2;0;4;1;b'Lautaro Martinez timelapse with \xe2\x9a\xa1 speed commentary https://t.co/xup4sCQhck'
1443601392602648579;1633016367000;intermilan;92711;1629;False;0;0;1;0;b'Lautaro Martinez Must Start Performing In The Champions League For Inter, Italian Media Report #InterMilan #FCIM https://t.co/uOXp7jjC7w'
1443601110913142788;1633016300000;InterWhatsup;39978;597;False;0;0;0;0;b'Lautaro Martinez Must Start Performing In The Champions League For Inter, Italian Media Report #InterMilan #FCIM https://t.co/FVq2ebIbpi'
1443596235106041860;1633015137000;lurvav2;147;139;False;0;0;0;0;b'@CusickSamm Maybe lautaro Martinez they\xe2\x80\x99re both really good for me'
1443595246613536777;1633014902000;EAV9_;25;40;False;0;0;0;1;b'I just took a draw in 90min because my opponent shoots with his Gabriel Jesus (Weak Foot) and scores in the box but, I shot 5 times in the box with my Lautaro Mart\xc3\xadnez and Chiesa (Strong foot) and everything gets AI blocked or saved\xe2\x80\xa6 what is this crap bro\xe2\x80\xa6\xf0\x9f\x98\x91'
1443592607301455877;1633014272000;SempreIntercom;29926;1081;False;5;0;3;0;b'Lautaro Martinez Must Start Performing In The Champions League For Inter, Italian Media Report https://t.co/uNHlq0IuSP #IMInter #Nerazzurri #FCIM'
1443564956213985283;1633007680000;intermilan;92711;1629;False;0;0;1;0;"b'Argetina Coach Lionel Scaloni On Inter Stars: ""We Are Happy With Lautaro Martinez &amp; Joaquin Correa"" https://t.co/JfmVpW1MZd'"
1443564678890893312;1633007614000;InterWhatsup;39978;597;False;0;0;0;0;"b'Argetina Coach Lionel Scaloni On Inter Stars: ""We Are Happy With Lautaro Martinez &amp; Joaquin Correa"" https://t.co/0g5BzONiTp'"
1443558632134688770;1633006172000;thearsenalscout;3437;403;False;0;0;2;0;"b""I'd go for Ruben Neves and Isak. Can't see us being able to afford Lautaro Mart\xc3\xadnez or Osimhen. I think Partey is best paired with a deep defensive distributor (like Xhaka). Neves is a classy player and more mobile with good set piece delivery &amp; attitude."""
1443543657894735873;1633002602000;SempreIntercom;29926;1081;False;6;0;4;0;"b'Argetina Coach Lionel Scaloni On Inter Stars: \xe2\x80\x9cWe Are Happy With Lautaro Martinez &amp; Joaquin Correa\xe2\x80\x9d https://t.co/4FdyzsgGwC #IMInter #Nerazzurri #FCIM'"
1443538192628654090;1633001299000;KeplerReformed;2668;1985;False;0;0;0;0;b'Lautaro Martinez will be the solution to all our problems.'
1443519924756959240;1632996944000;bryan_waweru_;218;613;False;0;0;0;0;"b'@moses_thelad Unpopular opinion; Pukaku was carried by Lautaro Martinez'"
1443506419119046667;1632993724000;Froshbanks;1613;1575;False;0;0;1;0;b'Lol if anyone think Lukaku is the problem, he needs to be checked. Man has got good hold up and link up play, he\xe2\x80\x99s just not getting services up front. Our attackers are not Lautaro Martinez, Brozovic and Sanchez. All worked for Lukaku at Inter. Our attack is shit, not big Rom. https://t.co/LUZHtOQjWJ'
1443481864614735873;1632987869000;BeheadElneny;80;138;False;0;0;0;1;b'@Samuel58872452 haaland would cost a lot of additional fees but yh he is miles clear of this bum \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad. Lautaro martinez carried this belgian mariano'
1443466770812112901;1632984271000;wwalluww;67;202;False;0;0;5;1;b'Arsenal are a Lautaro Martinez and Van De Beek away from going invincible again.'
1443464151414685697;1632983646000;JuventinaHannah;750;580;False;0;0;5;0;"b""@talkSPORT What he means is Lukaku is falling into the same trap he did at United being used up top often isolated, go and look how Conte used Lukaku with a strike partner like Lautaro Martinez and you'll understand that's how to get the best out of him"""
