id;time;username;follower_count;friend_count;user_verified;retweet_count;quote_count;like_count;reply_count;content
1456410845592764417;1636070379000;GiginXavier;19;170;False;0;0;0;1;b'@nabeeelkc @NoorKaM83737574 @ak_afzl @TimelineCR7 @fundacionmessi Yes we can see who is crying in cr7s post \xf0\x9f\x98\x82 Pathetic Messi fan ..'
1456410748519952388;1636070355000;_jacobschneider;887;1757;False;0;0;3;1;b'Brian White who? \n\nTom\xe2\x80\x99s the real New Jersey Messi https://t.co/Z813qAl0GP'
1456410736847204356;1636070353000;santanaman23;610;490;False;0;0;0;1;b'@CFCkevs So messi is actually last for you i thought you were trolling \xf0\x9f\x98\x82\xf0\x9f\x92\x80'
1456410662096228355;1636070335000;AliAhma32592926;1;5;False;0;0;0;0;b'@honest_messi Bitch wtf'
1456410614985863171;1636070324000;Ye_west10;457;1166;False;0;0;0;2;"b""@KDB2021 @LFCJaake El Classico 2018\nLol he didn't celebrate because he got himself injured when he tapped the ball in for his goal. He was pissed when a foul leading to a Messi goal wasn't disallowed but he wouldn't give a shit you say"""
1456410586372268036;1636070317000;joemcn23;0;131;False;0;0;0;1;"b""@alicek2507 @Ziad_EJ @btsportfootball @themichaelowen @rioferdy5 I know Messi is a legend but I just don't think he deserves it yet again. Like there are so many other players who won't be good enough to earn the award next year, who deserve it now."""
1456410575706234881;1636070314000;FRAMBUESAS_;100;161;False;0;0;0;1;b'@electr1ka why are we talking abt messi..'
1456410567061610498;1636070312000;TmtmGtm22;9;48;False;0;0;0;1;b'@RayFCB21 @adamya3010 @kshitijshah23 @ReshadRahman_ @Alfremartinezz He literally beat madrid 5-1 without messi'
1456410509129957376;1636070298000;dagman650;1138;1079;False;0;0;0;0;b'Lmao... Ronaldo is ahead of Messi in CL in ALL ramifications https://t.co/kuzXhaYqsz'
1456410452443996165;1636070285000;mide6ix;323;519;False;0;0;1;4;b'@ArianMasumi @Ankursi01483251 @TMForever30 So now that you\xe2\x80\x99ve wasted your saliva... how does this make Messi deserve 2016 BDO? Cause South American wrestling football is supposedly harder as Arian masumi from God don\xe2\x80\x99t care where said so?'
