id;time;username;follower_count;friend_count;user_verified;retweet_count;quote_count;like_count;reply_count;content
1448072615596335107;1634082390000;Yuhuuur;4442;857;False;0;0;0;0;b'@BlastXFrenzy the only player to win it that wasn\xe2\x80\x99t them in the last idek how many years was modric LMAO'
1448071225289347075;1634082058000;milogiv;84;252;False;0;0;0;0;b'@MikeLUHG_18_0 Thoughts on Modric'
1448070434302435336;1634081870000;nibras_iya;559;345;False;0;0;0;1;b'@MessiIizer @AinOorh Ever seen Modric body feint?'
1448070334331211781;1634081846000;CoryGilmore95;200;225;False;0;0;0;0;"b'@danflas94 Mental. Didn\xe2\x80\x99t help he had the 2 best midfielders off his generation &amp; possibly beyond. But to be honest I wouldn\xe2\x80\x99t be overly shocked at that if Modric hadn\xe2\x80\x99t won one &amp; Jorghino is 2nd favourite. In that case Sergio was robbed ffs'"
1448067411530457090;1634081149000;PrettyRicky1224;323;286;False;0;0;0;1;"b'Lol fucking hate the ""Buy now"" button in FIFA. Accidentally bought 2 players that were overpriced when I was trying to bid on them \xf0\x9f\x98\x91\nLuka Modric you better be that guy.'"
1448067341905010699;1634081132000;OreOlatunji;2042;4268;False;0;0;0;0;"b""@FootyAccums But y'all did the same with Modric in 2018"""
1448066745969909763;1634080990000;UTDAL3X;414;1299;False;0;0;0;0;b'@SSRole That\xe2\x80\x99s pretty much what happened with modric, except Jorginho actually won the international tournemant....'
1448066719537418244;1634080984000;davidinho_21;2907;2479;False;0;0;3;0;"b""Kroos modric and casemiro were never gassed to win the ballon d'or because of the CL https://t.co/IF06GiWTvU"""
1448065419160526851;1634080674000;talkingFUT;229;209;False;0;0;4;1;b'Preview pack coming in for the first time this fifa\nLlorente \xf0\x9f\xa5\xb3\nI have almost zero coins and tempted to sell him, but realistically he is one of the best (so they say) so in he comes and Modric slips to the bench https://t.co/MbrfqYd7U0'
1448065287329353731;1634080642000;e_z_z_i_e;601;1245;False;0;0;0;0;b'Luka Modric in 2018 World Cup type distances https://t.co/r3xAHn5993'
1448063948494827520;1634080323000;deadidipp;167;1226;False;0;0;0;0;b'@ShreejitParmar1 @galibrabbi77 @muhi1234 @cr7raprhymes Fair enough. Modric is a fine player. Such a shame iniesta and Xavi never got a ballon dor. They certainly deserved it. I\xe2\x80\x99m not a barcelonista, lol.'
1448063369118892034;1634080185000;Amiin11676532;1;14;False;0;0;0;0;b'@Hardikc1998 @HriddhaGhosh @TeamLeo10i Can you remeber in 2010 xavi and iniesta won world cup... but the ballon d or given..messi... \nWas modric better iniesta??\nWhay not ronaldo time'
1448062616383991816;1634080006000;kushamsog;170;222;False;0;0;0;0;b'@jadonayy If i may ask, What did modric do the year that he won that jorginho did not do? \xf0\x9f\x98\x82'
1448060696042868736;1634079548000;AdnaanBaig;62;628;False;1;0;0;1;b'@PatricioRui7 @Blue_Footy Exactly he went from playing with modric casemiro Kroos 3 of the best mids in history to playing with Fred and mctominay'
1448060062237347846;1634079397000;farouckbello;2794;494;False;0;0;0;0;b'@bakrningii @_Kvnnichiwa @Belshelby__ Modric when i was in boarding school, suarez was in my team na unguwan mu , trippier is in la sultana morning training, Walker is a well known name i got then dias in cobra.'
1448059407129001988;1634079240000;BMLW98;58;127;False;0;0;0;0;b'He feels unreal from the games I\xe2\x80\x99ve played with him. Honestly tho Modric has slightly worse stats than him for about 450k less so might see if he can do a job and sell Xavi'
1448058942249111560;1634079130000;blowupking_v2;618;1068;False;0;0;1;0;"b""@Vish_B97 The season modric won he didn't have nearly as much stats or trophies to support his winning... They still owe lewa one tbh, thats the only fav to win imo"""
1448058911139958787;1634079122000;Zahfeer7;266;1023;False;0;0;0;0;"b""@SSRole I just get annoyed when he rolls over trying to get others sent off. Look how quickly he was up once JW Prowse was sent off .. Modric was brilliant but didn't resort to this"""
1448058209336320000;1634078955000;cfczestyc;70;390;False;0;0;3;2;b'@sam_jefe @CFCTitus @SSRole @CFCDaily Why did modric win it in 2018 then you spastic'
1448057176199675908;1634078709000;O_tokunbo22;75;422;False;0;0;0;1;"b""@Lxxis61 @ahjewole @DanielRegha @ESPNFC You said cr7 had a better year than modric,  we all know greizman was robbed of Ballon d'or (that's if you watched European football in 2018)\nMan had 3rd best g+a won europa, won super cup against Madrid,  was instrumental in France triumph in 2018\nTf are you on about?"""
1448056533267451905;1634078555000;AbuUday35827999;11;79;False;0;0;0;0;b'@AdriRM33 There is no disagreement with Modric and Kroos'
1448055692334612481;1634078355000;HAL_bencab;37;693;False;0;0;0;1;b'@NicoChirinos @elchiringuitotv @jpedrerol Modric bro...'
1448053538727333900;1634077841000;AkingboyeOluwa7;134;202;False;0;0;1;0;b'@taiwoamodu01 @Th3underatedCFC @alibarboo @Czooba You are so hilarious,  so having the highest assists means you are a good playmaker???, somebody save me \xf0\x9f\x98\xad\xf0\x9f\x98\xad, Suarez,  Ronaldo,  Giggs, are surely better playmakers than Iniesta, Xavi, Modric, Kroos, Scholes \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1448053374738436107;1634077802000;TeacherOfBall;8044;750;False;0;0;2;1;"b'@HallofMid ""One of the top 3 players in Real Madrid history"" \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\n\nCristiano, Di Stefano, R9 and Zidane are ridiculously clear, then I\'d say players like Ramos and Modric'"
1448052106452144131;1634077500000;CoryGilmore95;200;225;False;0;0;0;1;b'Stop with this winning trophies getting the ballon d\xe2\x80\x99Or shit. Modric shouldn\xe2\x80\x99t have even got into the ceremony\xe2\x80\x99s never mind win it FFS. It should be Messi\xe2\x80\x99s trophy without an argument. https://t.co/myxLdI24U1'
1448050040879124489;1634077007000;GaviTiempo;450;473;False;0;1;4;0;"b""Only including players I've watched enough (from 2010).\n\n1. Messi\n2. Cristiano\n3. Iniesta\n4. Xavi\n5. Neymar\n6. Suarez\n7. Modric\n8. Busquets\n9. Neuer\n10. Dani Alves\n\nAm I biased? Maybe, but these guys for me were just muad. https://t.co/bW2XiiG9ei"""
1448049722455994369;1634076931000;Philtre_X;45;338;False;0;0;1;0;"b""@FootyAccums Sentiments all over.. Ballon d'or is supposed to be won by the player that had the best season.. He doesn't have to be the best player ever.. Modric controversially won it over Ronaldo.. But its rubbish if Jorginho wins it? Modric didn't even achieve half of wat Jorginho achieved"""
1448048835469529092;1634076720000;RocOutStunner;295;676;False;0;0;0;0;b'@SSRole Ala the year Modric won'
1448047074474348547;1634076300000;MFFEAK;84;221;False;0;0;0;0;"b""@QueBottler @modric_fan Isn't that https://t.co/CieZedZTAx?"""
1448046644545536000;1634076198000;cfc_clinton;103;211;False;0;0;0;0;b'@G1Amazing @Zak20B @Season1One @brfootball It wasn\xe2\x80\x99t rigged modric carried corotia to a World Cup final, you think is easy to do it ? Let Ronaldo try it with Portugal he won\xe2\x80\x99t pass r16'
1448046226277031954;1634076098000;m7sins;1661;1429;False;0;0;1;1;b'Jorgi deserves it a lot more than Modric did cos Modric didn\xe2\x80\x99t even win the World Cup smh https://t.co/LFbkWIqV5l'
1448045682053431299;1634075968000;cfc_clinton;103;211;False;0;0;0;0;b'@G1Amazing @Zak20B @Season1One @brfootball Why did modric win the ballon d or if it is all about goals?'
1448045569100877826;1634075941000;hmosley1905;527;387;False;0;0;0;0;b'@RainfordShay Just never really liked the ballon dor especially as Modric won it he wasn\xe2\x80\x99t even the best player at the World Cup'
1448045327899054086;1634075884000;MagicOfBarca_;1062;402;False;0;0;0;0;b'@modric_fan Just use piratebay'
1448045009677307906;1634075808000;_fletch____;454;838;False;0;0;2;2;b'@xAlexTHFC @kanefromthelane @thespursweb Thoughts on eriksen? Thoughts on bale? Thoughts on modric? Thoughts on berbatov?'
1448044332187992064;1634075646000;TomChelseaOG;384;440;False;0;0;4;0;"b'We were so close to Modric fck Levy lol. \n\nAnd then also Kaka, Gerrard and Neymar. What a pitty.\n\nOh lets not forget Hulk who always seems to ""close to joining Chelsea"" every summer \xf0\x9f\x98\x82 https://t.co/sf9zH2ng9F'"
1448044282061934594;1634075634000;KickingDevils_;1259;391;False;0;0;0;1;b'@lfc__will16 Modric has been class for me ngl. I might give Valverde a try though'
1448043842972889089;1634075530000;Khaleddinho;103;21;False;1;2;90;18;b'@ESPNFC Never understood the media hype up Ronaldo vs messi when messi isnt even the 2nd best this Generation. \n\nThe 2 best players are Ronaldo and Ramos. Then the Rest is following, like lewandowski, Modric,\xc2\xa0messi etc. \n\nBut at the very top standing Ronaldo, closely followed by Ramos'
1448043597077655559;1634075471000;Y3Shoa;692;873;False;1;0;1;0;"b""To those saying benzema deserves the ballon d'or should not forget that that award comes with trophies won and not mainly goals scored in a year...and talking of the nations league it's a friendly match transformed to a mini league..modric and canavaro are examples\n#SportsCenter"""
1448043148161265673;1634075364000;temiteelil;1397;1477;False;0;0;0;1;b'@KumasiSarkodie_ Lol modric does the same \xf0\x9f\x8c\x9a'
1448042973443280898;1634075322000;MiniShubz;2435;92;False;0;0;9;1;"b""R. Madrid have surpassed Barca as the benchmark for what midfield profiles dictate Europe. They were 1st with the flat midfield. Neither Modric/Kroos/Casemiro operated as advanced CMs \n\nL'pool birthed their success off this formula too. Gini/Hendo/Fab = the legs for wing-players. https://t.co/uOhtMwWJfx"""
1448042662997671938;1634075248000;JrSenyondo;35;451;False;0;0;0;1;"b""@DaLostBrazilian @okot_keita @Bulfc1 @michocoach Don't agree with you in regard to micho technical know-how in today's ball..if that boy is talented.. micho can't play him... If zidane can't instruct luka modric and Kroos on what to do..he only tells them you know what to do..keep on going..."""
1448041522440511489;1634074976000;ShakaEmzyman;884;1959;False;0;0;0;0;b'@sid_cfc4life @Momamba19 @SSRole Neither was Modric in 2018 \xf0\x9f\x98\x91'
1448040914992074752;1634074832000;ShreejitParmar1;4;110;False;0;0;0;1;"b""@deadidipp @galibrabbi77 @muhi1234 @cr7raprhymes My idol is Modric soo by our own logic please accept He's better than Xavi , Iniesta"""
1448040793718022152;1634074803000;Prabhjo06294329;97;212;False;0;0;2;0;b'@modric_fan To eye witness pendaldo masterclass ( at pens ofc )'
1448039850788147203;1634074578000;TheRealStraits;308;853;False;0;0;0;1;b'@modric_fan Tbf probably great crack if you can make it work'
1448037451965116419;1634074006000;siilvacfc;10453;8707;False;0;0;0;1;b'@AFCTeef_ @saucylabile would swear modric won it for less'
1448035176290742274;1634073463000;Kameshwar_10;7;50;False;0;0;5;1;b'@bankyenonie @hamzah_styx @MessiMX30i So you are saying that modric made more than 77 g+a contribution in 2018 ryt???!!! \xf0\x9f\x91\x8c\xf0\x9f\x8f\xbb\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3'
1448034175278362625;1634073225000;HaseebAFC;1596;2128;False;0;0;0;1;b'Modric winning it that year and not Salah. Another robbery tbh. https://t.co/YHPvNFnCLC'
1448034052200669184;1634073195000;bishrab99;920;1366;False;0;0;1;1;b'@Jahmxi true modric had a better case all things considered. still think cr7 had a better year 2018 tho..'
1448033748386209792;1634073123000;Jahmxi;44;104;False;0;0;1;1;"b""@bishrab99 modric was actually great that year ucl winner and did some carry job for croatia and got them to wc final. he is also a world class player an alltimer but this is just...like JORGINHO winning a ballon d'or lmaoo"""
1448033700487311365;1634073112000;Biola_Odz;21;107;False;0;0;0;1;b'@Jeromea27169127 @ProvidenceEye1 @FeelsWeirdManW1 @the_messi_era @ESPNFC u mentioned modric, everyone knows Cr7 deserved the 2018 balon but media and those at the top wont allow Cr7 move ahead of Messi in the balon dor count, so they hyped Modric performnces. In 2010 sneijder,xavi,iniesta, robben did something similar to modric but guess who won it'
1448033362539687939;1634073031000;SarchisD;5;54;False;0;0;1;0;"b""@GreatWhiteNueve Considering vini's dad is younger than modric, i think his grandparents aren't the same age as pele... \xf0\x9f\x98\x82\xf0\x9f\x98\x82"""
1448033301252526085;1634073016000;vchillibean06;114;117;False;0;0;1;1;b'@AllNewsFifa My best was Correa 83 \xf0\x9f\x98\xad what did u get Modric out of?'
1448032736724373514;1634072882000;MarvikeyzU;2365;2065;False;0;0;1;2;"b""@AlcantaraDhenix @Fagbohun_A @FrankKhalidUK @ChelseaFC Speaking of the 2010 award Iniesta deserves it more not even Sniejder. The officials knew they got it all wrong reasons they never had it repeat itself on Modric and certainly won't happen on Jorgi as well. The only reason Messi is in this context is because he won coppa-American"""
1448032597473439748;1634072849000;AllNewsFifa;2277;719;False;0;0;6;4;b'Best player: Modric\n\nMeh https://t.co/8BFBQVEuil'
1448032061403639808;1634072721000;Dalos__;481;273;False;0;0;0;0;b'Hell no when Modric won it everyone said the award lost credibility https://t.co/So8EPjHG27'
1448031584284721157;1634072607000;Jeromea27169127;31;4;False;0;0;2;2;b'@Biola_Odz @ProvidenceEye1 @FeelsWeirdManW1 @the_messi_era @ESPNFC Bringing up a different point which wasn\xe2\x80\x99t what were talking about... debate concluded thanks come back to me when Ronaldo wins an international individual award, if football was all about goals Ronaldo would have won a ballon d\xe2\x80\x99or instead of modric and won the euros POTT'
1448031560339447819;1634072601000;MarvikeyzU;2365;2065;False;0;0;2;0;"b""@AlcantaraDhenix @Fagbohun_A @FrankKhalidUK @ChelseaFC What's the reality? that no Chelsea player can ever win the ballon d'or? \n\nIf Modric can win the ballon d'or ahead of Messi and Ronaldo with just UCL and as a WC runner-up then Jorginho can win it as a UCL and Euro 2020 holder. That's the fvcking reality"""
1448031538533343244;1634072596000;Nxdif;336;135;False;0;0;0;0;b'Jorginho winning the ballon d\xe2\x80\x99Or would be even more undeserving than when Modric won it'
1448031083451277314;1634072488000;CFC_Zain;855;706;False;0;1;2;0;"b""If Modric was given the ballon d'or in 2018, it shouldn't be a shock to fans if jorginho does the same this year, hes basically won everything."""
1448030971924733960;1634072461000;OVOGoonLife;499;568;False;0;0;2;1;b'@ranny_ft @UTDTrey Ronaldo should have 6 already btw, but the dumb voters gave it to Modric in 2018 as a sympathy award. Biggest joke ever smh'
1448030495644737538;1634072347000;OVOGoonLife;499;568;False;0;0;0;0;b'@UTDTrey It\xe2\x80\x99s crazy because he SHOULD have 6 already if not for the stupid voters giving it to Modric in 2018. Biggest travesty and joke ever https://t.co/KGtoDd4UPv'
1448030178295390213;1634072272000;AyyanBabar0;37;39;False;0;0;0;1;b'@HassanNatha @Dam0n7i 50 goals in 40 games alone is extraordinary.\n\nSo voters be like hey lets count dribbles to determined the winner lol i bet you they wont pay much attention to others things than goals for foward players if they did than modric would never won in 2018.'
1448030167935373313;1634072269000;Timoslaav;29;58;False;0;0;9;3;b'@GunboyCule @messaitama @idoknowball You are the same guys that said Modric should win because he got to the WC Final... imagine Jorginho not winning the Ballon dor after winning Euros and UCL, would make the Ballon dor worthless after Modric won it 2018 \xf0\x9f\x98\x81'
