id;time;username;follower_count;friend_count;user_verified;retweet_count;quote_count;like_count;reply_count;content
1443726838568734724;1633046276000;gst_lc;171;233;False;0;0;0;0;b'Do you man know who neymar is ??? https://t.co/XCu8HPsuSo'
1443726290985623555;1633046145000;FM21CareerMode;2;5;False;0;0;1;1;b'\xe2\x80\xa6rated Brazilian prospect since the likes of Neymar at Santos. We are delighted to have completed the signing and look forward to George bringing his talent to the Emirates!'
1443725927263965188;1633046058000;burningbrake8;516;489;False;0;0;3;0;b'@LfcLatch Neymar'
1443725735269650433;1633046013000;scijulinha_;443;521;False;0;0;0;0;b'@futurizando_ Neymar'
1443725695230828547;1633046003000;mainone347;7;19;False;0;0;0;1;b'@SwagDdy69 @neuerdavies @LeMickeyBurnerr @BleacherReport @neymarjr I don\xe2\x80\x99t care'
1443725385796136961;1633045929000;hidden_puff;455;668;False;0;0;1;1;b'@quepanca nEYMAR!?!?!?!?'
1443725223317098496;1633045891000;NYTRO_10;1963;4652;False;0;0;0;0;b'As useless as Neymar has made himself look in the sight of everyone\xe2\x80\xa6this is his stats so far career wise! He is the most complete player I have seen this past 10 years after CR7 and Messi! But year presently I don\xe2\x80\x99t rate him anymore\xe2\x80\xa6he has affected his career negatively https://t.co/rrAcgVWl0o'
1443725049861713920;1633045849000;Unmvstered;227;665;False;1;0;41;2;"b""@brfootball Pessi playlist \xf0\x9f\x8e\xb6\n\n1.  I\xe2\x80\x99m a Fraud \n2. How I miss Iniesta &amp; Xavi\n3. Meltdown in WC\n4. Thank You Neymar\n5. Garbage in Copa\n6. Too many finals lost to count\n7. Scared of the Prem\n8. I'm not tracking back\n9. Midget\n10. Ronaldo ownes me"""
1443724786425806854;1633045786000;Buddhweiser;398;688;False;0;0;0;0;b'Even Man City would rather have Neymar.. what\xe2\x80\x99s wrong with these people https://t.co/1YFH7ZcFfx'
1443724680913952778;1633045761000;NYTRO_10;1963;4652;False;1;0;2;1;b'@real_rusty Brother na Neymar cause all this Rubbish! I Dey vex die when anyone Dey downplay him football\xe2\x80\xa6after CR7 and Messi, that\xe2\x80\x99s the most complete player I have seen this past 10 years no cap! Na just Neymar allow him useless attitude affect him football I swear'
1443724630934659076;1633045749000;busby070;139;582;False;0;0;0;1;b'Obviously Neymar. Who makes these polls seriously https://t.co/3iQfN9aIZY'
1443724555332296710;1633045731000;AdadeyOsae;449;382;False;0;0;0;2;b'if you compare entire career stats ofc neymar is clear, no argument. but as of the past two, three seasons i think salah has better stats https://t.co/nCRu6GRe0H'
1443724527490330624;1633045725000;SipiFC;5302;1352;False;0;0;8;2;b'Can someone please explain how the first shot misses and the second shot goes in? Because I genuinely don\xe2\x80\x99t understand FIFA 22.\n\nFirst is with Neymar\xe2\x80\x99s right foot, open goal. Second is with Toney\xe2\x80\x99s 3* weak foot. https://t.co/hJZel3VN0N'
1443724274196439046;1633045664000;YeezyGooon;273;957;False;0;0;0;0;b'Never disrespect Neymar again https://t.co/iEwnl5852w'
1443724150116438021;1633045635000;SZNDravid;231;272;False;0;0;1;1;b'Outside of msn neymar has done nothing but he keeps getting shouts like this I give up https://t.co/yZv5yxaxAN https://t.co/Cnmjphi1cf'
1443723926367047684;1633045581000;_Eden7;205;293;False;0;0;1;0;b'@LfcLatch Neymar'
1443723869521649672;1633045568000;Ajayyyy___;6475;3384;False;0;0;0;0;b'See Neymar lmao ofu https://t.co/3IXlGzVNKN'
1443723849070170112;1633045563000;real_rusty;6038;4923;False;1;0;4;1;"b""Grealish has more end product than Neymar? I'm dead! Neymar is just too disrespected and it is sickening. https://t.co/o01oRkygPB"""
1443723765574090777;1633045543000;SethiAdvit;4430;2936;False;0;0;1;0;b'@CanceloMerchant Neymar'
