id;time;username;follower_count;friend_count;user_verified;retweet_count;quote_count;like_count;reply_count;content
1464745423009206282;1638057497000;dimeh67_;1190;775;False;0;0;0;1;b'@Pedri_sznn @salutcisaq Fc ban ip https://t.co/OuGt9DF9cV'
1464744177263157248;1638057200000;YeshuaFacemaker;2860;456;False;0;0;2;1;b'@JorgeDelo_ @FCBarcelona @Memphis @Pedri @3gerardpique @EASPORTSFIFA @play_eFootball @LaLiga @ChampionsLeague write me to the mail to help you bro'
1464744125169901584;1638057187000;salutcisaq;547;319;False;0;0;0;1;b'@Pedri_sznn Fait'
1464743121841963019;1638056948000;JorgeDelo_;154;442;False;0;0;1;1;"b""@YeshuaFacemaker @FCBarcelona @Memphis @Pedri @3gerardpique @EASPORTSFIFA @play_eFootball @LaLiga @ChampionsLeague Hi Yeshua, how can I relink the faces with no ID? I've tried changing the name with the IDs on the .fmdl files and it doesn't work."""
1464741418916745220;1638056542000;FcBottle_;1630;1588;False;0;0;1;1;b'@Pedri__prop ratio + hide this tweet if pedri is shit'
1464740939407269890;1638056428000;MikeKnowsBaII;998;359;False;0;0;3;1;"b""@Pedri__prop you're a funny guy man"""
1464740274790404097;1638056269000;AmineGouiri10;1160;1418;False;0;0;0;0;b'@Pedri__prop What is a Garcia? Dfkm \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
1464740220650369028;1638056256000;Pedri_FCB__;920;1139;False;0;0;22;1;b'Araujo is our best defender, istg some of these Pedri accounts are so r3tard3d https://t.co/GYk1xIVoTm'
1464740209275375620;1638056254000;MagicaIFati;346;244;False;0;0;1;0;b'@Pedri__prop Virgin behavior'
1464740174894538753;1638056245000;vanshchenko;237;711;False;0;0;0;0;"b""@Pedri__prop @MikeKnowsBaII Man couldn't even control balls tf you on about"""
1464740172118073352;1638056245000;MikeKnowsBaII;998;359;False;0;0;6;1;b'@Pedri__prop performed??? we brought him into be a ball playing CB and Araujo had more accurate passes than him'
1464739516405583873;1638056088000;R1dz18;8;63;False;0;0;0;1;b'@WengerProdigy @_JamesMCFC @BarcaTimes @Santi_J_FM But I get your point. Let\xe2\x80\x99s just be happy that we are getting Ferran without losing Pedri or De Jong \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
1464739252772564994;1638056026000;R1dz18;8;63;False;0;0;0;0;b'@WengerProdigy @_JamesMCFC @BarcaTimes @Santi_J_FM In this case, Barca are the ones who want Ferran and so if a swap deal were to be proposed, Barca would be the one naming the player  they are willing to let go. Hypothetically if they offered Pedri, there is no way Pep is refusing. But hardly a scenario that would happen in real'
1464738111548801027;1638055753000;totalnjr;3168;781;False;0;0;10;0;b'@Pedri__prop Go and feed your kids https://t.co/uROR6uzlos'
1464738051486359553;1638055739000;culerclown;389;442;False;0;0;1;1;"b'@AndyDB_ Not u thinking that I meant Gavi &gt; Pedri https://t.co/N0f61rFotQ'"
1464737530020913155;1638055615000;R1dz18;8;63;False;0;0;1;1;b'@WengerProdigy @_JamesMCFC @BarcaTimes @Santi_J_FM Pep would take Pedri for Ferran in a second. But Barca would be a fool to offer him.'
1464736823155044360;1638055446000;VlasicSZNHiding;134;278;False;0;0;1;0;"b""POV: You're looking at Pedri__prop's tweet https://t.co/Fs6PPQ2mtv"""
1464736507822968832;1638055371000;KattarReborn;2727;1531;False;0;0;8;2;b'@Pedri__prop Why are you the way you are?'
1464736373756370947;1638055339000;BarcaNaija;4117;659;False;5;1;125;5;"b'Also, it\xe2\x80\x99s important to note that  Xavi didn\xe2\x80\x99t play Garcia at RB and Mingueza at LB out of choice. Both decisions were caused by Dest &amp; Alba injuries. Xavi needs his key players back ie Pedri, Ansu, Dest &amp; Dembele, in order to implement any sort of sustainable, long-term concept. https://t.co/mta5MqnZiY'"
1464736289140400142;1638055319000;Bxii_Culer;1717;2068;False;0;0;10;0;b'@Pedri__prop job then'
