id;time;username;follower_count;friend_count;user_verified;retweet_count;quote_count;like_count;reply_count;content
1464745832490618880;1638057594000;realRobMuerto;1177;680;False;1;0;0;0;"b""@ronaldocomps try goals and assists per touch and Ronaldo would have 16 Ballon D'ors."""
1464745736759758862;1638057571000;Khunlhey_Avatar;943;915;False;0;0;1;1;"b""@marco_p99 @Dannn777 @totalcristiano Could be fatigue, tactics, but the truth is he needs help upfront. He can't do it all alone. His work rate and Ronaldo's ruthlessness in front of goal was the reason Juve could make it to the UCL last season despite being poor for the larger part of the season."""
1464745620384714753;1638057544000;the_thronee;2287;2010;False;1;0;1;2;b'@ayam_kojo vote for Ronaldo to win the dubai d\xe2\x80\x99or adey send you link on WhatsApp \xf0\x9f\xa4\xa3'
1464745597777371141;1638057538000;NickPowch1995;140;310;False;0;0;0;0;"b""Top 2 attacks in England Liverpool Man Utd for me Man Utd Cr7 Bruno Sancho if top form best easily just been dreadfully coached don't underestimate them also Cr7 can press like Liverpool style anyone who says he can't clearly talking utter garbage ive seen him press very good"""
1464745568190742528;1638057531000;ReymixJ;9;9;False;0;0;0;1;b'@s__avvy @Urban_Dropbox @Jiji_Byte Pls how us it cal or they jst gve it to Ronaldo'
1464745522087043073;1638057520000;julien_lsgr;207;268;False;0;0;0;1;"b""@48_15_16 @Vickybasse @CR7_inside T'en a juste pas \xf0\x9f\x98\x82"""
1464745495520333824;1638057514000;UTDBEAST_;476;361;False;0;0;0;0;b'@Cr7_IsTheGoat_ @xCityFoden @ManUtd @Cristiano As per'
1464745474095783939;1638057509000;spongy69;62;412;False;0;0;11;2;"b""@NealGardner_ There's context to everything. Was he the top goal scorer? No. Did he win a ucl, break goal record and lose the league by 1p? No. Did he win the hardest national trophy maybe harder than wc? No.\nYou know he did? Ronaldo. But this year there's no one dominating the year like 2016"""
1464745452943851521;1638057504000;samDavi84928991;668;1785;False;0;0;0;0;b'@Cantona_Collars hopes he will prove successful,give us an identity. maybe give some youth a chance. top 4 minimum and a long run in cl or FA cup. fear he alienates players with dictator style leadership(heard about this intense pressing and whether ronaldo will do it/be up to it)'
1464745434648350726;1638057499000;ShipOfAkib;880;324;False;0;0;0;1;b'@siddFT @Joshua_Ubeku wait what is this exactly? and why are messi fans voting for ronaldo?'
1464745421645910017;1638057496000;UjjwalR43402027;105;338;False;0;0;0;0;b'@theMadridZone @marca Ronaldo deserved that year\xf0\x9f\x98\x89'
1464745413945315335;1638057494000;VasXD_;9;33;False;0;0;0;1;"b""@tnmejjanur @Only_KungFu @m1202514 @Schule7i Ronaldo has been excellent, the overall team however, has been bad. Going to the main point, Juve suffered the most in this space. Ronaldo carried themz that's my point."""
1464745412221407235;1638057494000;francis_abban;48485;3278;True;4;0;43;2;b'Juventus rebuilding very nicely. They never needed Cristiano Ronaldo. He was the problem. \xf0\x9f\x98\x8a'
1464745311885271049;1638057470000;kirwinho;57;246;False;0;0;0;1;b'@cfcbazz @DialloDazzling You\xe2\x80\x99re getting ronaldo\xe2\x80\x99d and there\xe2\x80\x99s nothing u can do about it fella'
1464745301399457799;1638057468000;TheRangnickWay;59;52;False;0;0;0;0;b'Him and Ronaldo up top next season \xf0\x9f\xa5\xb6 https://t.co/jyq3qZ7n5d'
1464745209909190658;1638057446000;mrAtubila;1037;1347;False;0;0;2;1;b'@ovo_Levi @Asaga_P @NbaSabonkudi I\xe2\x80\x99m weak. Ronaldo made it clear to them he was leaving and asked them not to play him in their match'
1464745183543762955;1638057440000;millionp0int;223;229;False;0;0;0;1;"b""@Cessss_ Ronaldo leaves in like 1 more year Haaland isn't even older than you, + none of those guys you mentioned will even amount to being half the player that guy is"""
1464745148231917569;1638057431000;SDP76842783;12;196;False;0;0;0;0;b'@paddypower Is he Ronaldo\xe2\x80\x99s cousin?'
1464745123992981505;1638057425000;Tr7991;0;12;False;0;0;0;0;b'@brfootball Ronaldo tends to do that to teams after they become dependent on him. Lmao\n\nUnited when Penaldo retires are going back to being a europa league team\xf0\x9f\xa4\xa3\xf0\x9f\x92\x80'
1464745072113639429;1638057413000;d_kamhin;1392;2991;False;0;0;2;1;b'@goal The fact that people said juve would be much better and thrive without Ronaldo. The man carried this club\xf0\x9f\x98\x82'
1464745020897075204;1638057401000;MboSykes;149;83;False;0;0;0;0;"b'Haaland has been out with injury for awhile now got subbed on today &amp; it took him 8mins to get back on the scoresheet. This guy is going to set some crazy numbers throughout his career. Possibly like Ronaldo/Messi numbers'"
1464745000651169802;1638057396000;legendarytomiwa;935;1697;False;0;0;1;0;b'Ronaldo made this team \xe2\x80\x9cdecent\xe2\x80\x9d they are trash smh https://t.co/FN9LfPwoBF'
1464744875400871938;1638057366000;ManUtdRonaldo7;5128;1777;False;0;0;0;0;b'@Cr7_IsTheGoat_ Sure'
1464744825119555584;1638057354000;ronaldo_halfen;273;647;False;0;0;0;0;b'@AraciBrasil Grande Maza \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'
