id;time;username;follower_count;friend_count;user_verified;retweet_count;quote_count;like_count;reply_count;content
1464737834351403013;1638055687000;conLFC_95;1910;3735;False;0;0;1;0;b'@TweetsFromFerg Yeah we are shit aren\xe2\x80\x99t we ferg \xf0\x9f\x91\x80 according to all blue noses Reece is better than Trent Vardy is a better player than Salah Ruben Dias is the best CB over VVD \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa5\xb1 bored of them me mate they have a go at us because they haven\xe2\x80\x99t had success for 25 years man'
1464731753663406083;1638054238000;MCFCDON2;145;200;False;0;0;1;1;b'@citybyron @rubendias How about a jog tomorrow? @citybyron'
1464725636434563081;1638052779000;SheikhZammo;2096;1775;False;1;0;4;0;b'@ManCity @PepTeam @OfficialPDickov @kylewalker2 @PhilFoden @DeBruyneKev @rubendias @edersonmoraes93 @JackGrealish @Mahrez22 @trevor8sinclair @laveen52 @DuignanDennis\nPlease share far and wide, every penny raised in memory of Laveen lifelong blue \xf0\x9f\x92\x99 \nhttps://t.co/D7cTiKHim0'
1464714654622568453;1638050161000;Doozy_45;14724;12233;False;0;0;1;0;b'Gabriel Jesus Returns in Attack, Ruben Dias and John Stones to Start Again - Predicted Team: Man City vs West Ham \n\n#MCFC #PremierLeague \n\nhttps://t.co/SDnFsCIcna via @NewsNowUK'
1464706192303923211;1638048143000;Los_Danni;579;1533;False;0;0;2;0;"b""I'm not hearing any Ruben Dias hype anymore, City fans have finally clocked how shite he is\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82"""
1464705330911318025;1638047938000;Tillian1243;5422;657;False;0;0;0;1;b'@DaleBrogan Thanks for reminding to buy Cancelo before we get Ruben Dias tomorrow'
1464700745199009806;1638046845000;respectjohnson1;1041;692;False;1;0;4;2;b'I think we need to cash in Ruben Dias  to fully progress as a football club'
1464693868750942210;1638045205000;michalm1904;70;515;False;0;0;0;0;b'@mandydand Ruben Dias instead of Matip'
1464691503918313473;1638044641000;MAbualout;126;695;False;0;0;1;0;b'A gift for you my friend @rubendias \xf0\x9f\x98\xb4\xf0\x9f\x92\x99 https://t.co/5rxgt3CJ2z'
1464688292318830594;1638043876000;mancitycontent;879;197;False;0;0;2;0;b'City Xtra | Gabriel Jesus Returns in Attack, Ruben Dias and John Stones to Start Again - Predicted Team: Man City vs West Ham (Premier League) #mcfc\n\nhttps://t.co/wkYghDKauR\n\n`@City_Xtra | @mancitycontent | @mancitydiscord`'
1464682741677580291;1638042552000;the_pelumi;2005;1794;False;0;1;0;0;b'@7omeno 2. Bruno Fernandes, Joao Felix, Renato Sanchez, Diogo Jota, Bernardo Silva, Ruben Dias, Joao Cancelo yet Ronaldo can\xe2\x80\x99t wrap up World Cup qualifying? Na super team e dey find?'
1464682226340319241;1638042429000;aryan10ii;786;290;False;1;0;30;1;b'@rma7st @AestheticFooty Not sure which of these is more of a super team: Ruben Dias, Bernardo Silva, Bruno Fernandes, Diogo Jota\n\nOR: Otamendi, Paredes, De Paul, Lautaro'
1464677578690674696;1638041321000;Lm_matoke;550;649;False;0;0;1;1;b'@Kevin_teya do you remember what he did to ruben dias last season'
1464669727805128704;1638039450000;iahmaad_;504;652;False;0;0;0;0;b'On God it\xe2\x80\x99s a lie !!! Bruh you can\xe2\x80\x99t compare Ruben Dias to that Bus Driver Harry Maguire \xf0\x9f\x98\xad https://t.co/K4EGc0BKyT'
1464669510061887490;1638039398000;LakshCity;110;158;False;0;0;1;0;"b""imagine haaland foden and ruben dias finishing as 1,2 and 3 in ballon d'or list of 2026 with city winning ucl,pl,fa cup,club wc and league cup and portugal finishing third,england second and norway atleast rof16 in wc 2026 https://t.co/Y1abxbY2ds"""
1464668325989036045;1638039115000;Mus6ey;59171;4946;False;3;3;20;3;"b""Manchester City R\xc3\xbaben Dias is average in my book. He's in the same category with Harry Maguire and Ben White."""
1464664064034967555;1638038099000;CoinRetro;4;17;False;0;0;0;1;b'@trustyfuttrader @trustyfuttrader  is ruben dias coming tommorrow'
1464659891184758793;1638037104000;Alankit_;667;89;False;0;0;0;0;"b'D Jota , Cancello , Bernardo Silva &amp; Ruben dias play like a world class players when they play in premiere league!\n\nBut when they play for Portugal they become cowards &amp; atrocious! #Shame . #LIVSOU'"
1464654277431996421;1638035766000;Amin__FUT;777;287;False;0;0;1;1;b'INVESTING IN LEAKED PROMO CARDS\n\nInvesting in leaked promo cards can be very good. For example. Let\xe2\x80\x99s say I\xe2\x80\x99ve just posted Ruben Dias as an investment, Why? He\xe2\x80\x99s a leaked player that will feature in this promo and he\xe2\x80\x99s sbc fodder which will make him rise.'
1464649632831598596;1638034658000;JPBrunelPhoto;338;791;False;0;0;1;0;b'@Obi_BALR Ok, hear me out here...\nRUBEN DIAS!'
1464642760749760513;1638033020000;011ie_gR;136;78;False;0;0;0;0;b'@theMadridZone @MarioCortegana Ruben Dias instead of Pogba'
1464637360570724359;1638031733000;prashamsenpai;74;267;False;0;0;0;2;b'@gooner_anj Top 10 Portuguese players in the Premier League \n1) Bernardo Silva\n2) Ruben Dias\n3) Cancelo \n4) Jota \n5) Neves \n6) Podence\n7) Ricardo Peirera\n8) Semedo\n9) Moutinho\n10) Cedric \n\nDid I miss any penalty merchants?'
1464634009443524615;1638030934000;Nichola15978497;1;30;False;0;0;0;0;b'@rubendias @ManCity Niiiceeeeee https://t.co/Twu0zJ9hYu'
1464632696609640456;1638030621000;10Vferreira;73;596;False;0;0;12;1;"b""@GooooaaalIlllll @ranny_ft @brfootball Nah nah nah don't come over here with that bullshit, Jota is absolutely  dogshit for Portugal i would even go as far as saying he's the worse player on the field everytime, it's like playing with 10 men whenever he starts. Bruno, Bernardo and Ruben Dias  also frauds for Portugal"""
1464631122541760517;1638030245000;pizzahatpeter;37;425;False;0;0;0;0;"b""@DazCarson @FootballlForAll @MatteMoretto Lmfao what? You genuinely believe that Ruben Dias should be contending for the Ballon d'or?\nVan Dijk had 679 votes to Messi's 686 in 2019 and you think defenders go 'unnoticed' and you can only win if you play for Barca or Madrid? You don't know what you're talking about."""
1464628568701296641;1638029636000;Shahzad_1123;62;184;False;0;0;1;1;b'@StevenMcinerney As someone who watched him last season all the time. I predicted that he will explode this season. And its happening. People gonna notice him more and more.\nHe is really good, I mean really good. I rate him just below haaland. His has that ruben dias mentality..'
1464628282515726340;1638029568000;Migueldpn_;278;580;False;0;0;0;0;b'@carrusel Por logros, tanto en equipo como individuales, mi top ser\xc3\xada:\n\n1\xe2\x83\xa3 Jorginho\n2\xe2\x83\xa3 Messi\n3\xe2\x83\xa3 Azpilicueta\n4\xe2\x83\xa3 Ruben Dias\n5\xe2\x83\xa3 Lewandowski'
1464628014675812357;1638029504000;ZinnySZN;1477;1302;False;0;0;3;2;b'@MrPaddyMurphy Ruben Dias joined Liverpool???'
1464627807124873224;1638029455000;_UTD_LUKE;1260;1165;False;0;0;2;0;b'Unpopular opinion: Vvd is miles clear of ruben dias'
1464625649231048704;1638028940000;Davidjorge1987;10;157;False;0;0;0;1;b'@ProudlyAnioma @premierleague The fact that Jo\xc3\xa3o Cancelo and Ruben Dias aren\xe2\x80\x99t even being considered is sad'
