id;time;username;follower_count;friend_count;user_verified;retweet_count;quote_count;like_count;reply_count;content
1464745828510322690;1638057593000;alanum1;50;54;False;0;0;0;0;b'@goal \xf0\x9f\x91\x91King\xf0\x9f\x91\x91 \xf0\x9f\x99\x85\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f @MoSalah @LFC https://t.co/rOmxO0kdpR'
1464744854773194758;1638057361000;DarniLFC;6;68;False;0;0;43;0;"b""@TheAnfieldTalk @MoSalah That time at Chelsea still dogging his numbers there ...with Liverpool it's even closer"""
1464743081027194884;1638056938000;lucas_allen07;83;190;False;0;0;22;1;b'@TheAnfieldTalk @MoSalah ZERO reason he can\xe2\x80\x99t be *THEE greatest PL player ever if he signs a new 3/4 year deal.'
1464740668262297607;1638056363000;mason0872;174;721;False;0;0;23;1;b'@TheAnfieldTalk @MoSalah Isn\xe2\x80\x99t he a \xe2\x80\x9cone season wonder\xe2\x80\x9d'
1464739695259181061;1638056131000;nevershave;512;1953;False;0;0;1;0;b'@TheAnfieldTalk @MoSalah For a \xe2\x80\x98one\xe2\x80\x99 season wonder\xe2\x80\xa6'
1464731259888881664;1638054120000;clockmerchant;148;221;False;0;0;0;0;b'@Aarayouz @MoSalah 1 PL goal since old trafford he\xe2\x80\x99s decided to rest ffs'
1464730387507257346;1638053912000;Smamzino;153;210;False;0;0;0;0;b'@_aestheticmf @Neeee0007 @btsportfootball @MoSalah Tom Dick and Harry who else'
1464730335984377860;1638053900000;mxrwan05;208;316;False;0;0;1;0;b'@Aarayouz @MoSalah Scored a banger last year?'
1464729755790589954;1638053761000;_aestheticmf;106;318;False;0;0;5;1;b'@Smamzino @Neeee0007 @btsportfootball @MoSalah who the fuck cares'
1464729626341777416;1638053730000;Jeyansahin;114;96;False;0;0;1;0;b'@kany3west_ @Aarayouz @MoSalah Yeah trents a top shout too. Mane second then'
1464729601129779203;1638053724000;SamWebo;783;449;False;0;0;6;0;"b""@Aarayouz @MoSalah He's got a goal or an assist in every PL game this season bar Burnley\xf0\x9f\x98\x82"""
1464729390403796996;1638053674000;Luke11lfc;226;677;False;0;0;0;0;b'@Aarayouz @MoSalah My potm https://t.co/3RwkU6e5Hc'
1464729003906977797;1638053582000;Aarayouz;1394;1328;False;0;0;0;0;b'@mubzzz_h @MoSalah What a goal!'
1464728841096675336;1638053543000;mubzzz_h;178;192;False;0;0;1;1;b'@Aarayouz @MoSalah Bcc in every game tbf'
1464728557394042886;1638053476000;mxrwan05;208;316;False;0;0;1;1;b'@Aarayouz @MoSalah Defo getting another merseyside derby goal @ goodison'
1464728071794212875;1638053360000;Jeyansahin;114;96;False;0;0;3;1;b'@Aarayouz @MoSalah Mane been our best player the last month but you wont hear a peep about it'
1464728032195878922;1638053350000;Saidimu6;232;955;False;0;0;0;0;b'@goal @MoSalah deserves it more than anybody else.'
1464727805602799621;1638053296000;Aarayouz;1394;1328;False;0;0;18;7;b'Salah 2 in his last 6 wake tf up bro @MoSalah'
1464726865327923214;1638053072000;MrBig_Bone;1713;1989;False;0;0;1;0;b'19 goal contributions in 13 Premier League games\n@MoSalah'
1464720446658600969;1638051542000;deadinsideanywa;97;346;False;0;0;0;0;b'@hoossen11 @mo3taz_wagdy @MoSalah Mb7besh 8ir el we7shin bas'
1464720435204001794;1638051539000;Cristiano_ally;105;125;False;0;0;0;0;"b""@ObsessedWithUtd @Jola010 @433 @didierdrogba @MoSalah I'm not your f@ther"""
1464719067361824783;1638051213000;GeraldineMatch;320;465;False;0;0;2;1;b'@aboumoawiya @LFC @MoSalah @premierleague Please don\xe2\x80\x99t create tension for the team. Salah will be top goal scorer this season without a doubt and can create his own chances.'
1464716375612604418;1638050571000;AhmedMo76326988;12;123;False;0;0;0;0;b'@LFC @MoSalah Mohamed Salah is the best player in the world'
1464715684919885832;1638050407000;AnfieldIndexPro;6213;5116;False;2;0;1;0;"b""\xe2\x9a\xbd\xe2\x9a\xbd\xe2\x9a\xbd HAT-TRICK HERO #SALAH\n\n\xf0\x9f\x96\xbc\xef\xb8\x8f Stunning 'Painting Effect' Portrait inspired by #LFC @MoSalah\n\n\xf0\x9f\x93\x8f Sizes: A5, A4, A3\n\n\xe2\x9e\xa1\xef\xb8\x8f From only \xc2\xa39 at https://t.co/qDehjabDHw https://t.co/BrThKeOS70"""
1464715117426364425;1638050271000;layosty;48;195;False;0;0;1;0;b'@asongbird4Jesus @lapulgafreak @MoSalah Stop man just look at the numbrs'
1464710084362227720;1638049071000;calcio_mania_;3;155;False;0;0;1;0;b'@LFC @MoSalah @premierleague best player in the word currently'
1464708307885690881;1638048648000;Mista_FOKA;375;893;False;0;0;2;0;b'The Egyptian King .@MoSalah \n\n@jemapelleikhlas @kwame_rapture @Will_9090 @GerhartOppong https://t.co/bL8i3xGCYt'
1464706601244413953;1638048241000;deadinsideanywa;97;346;False;0;0;0;1;b'@hoossen11 @mo3taz_wagdy @MoSalah Da 7ata by simpo 3lik fel likes'
