id;time;username;follower_count;friend_count;user_verified;retweet_count;quote_count;like_count;reply_count;content
1464745778497429505;1638057581000;kepkuardiola;182;152;False;0;0;1;0;"b""biggest myth is that mahrez/sterling fc are the worst fan bases on city ft. that's deadass racism."""
1464745751876153347;1638057575000;AislingStores;21;1;False;0;0;0;0;b'Sole Memory Personality Cross Sweet Simple Wild Student Gift 925 Sterling Silver Clavicle Chain Female Necklace SNE380 https://t.co/JpSKvEdENx\n#fashion|#sport|#tech|#lifestyle https://t.co/A2gT9q5512'
1464745749258768388;1638057574000;marina_mcgovern;9;191;False;0;0;0;0;b'Check out this listing I just added to my #Poshmark closet: Sterling Silver diamond necklace. https://t.co/rX7XIG9mVv #shopmycloset @poshmarkapp'
1464745729453395975;1638057570000;KDBseasonV2;1617;122;False;0;0;0;1;"b""@mcfcSMR @McfcaaroV17 Typing in caps won't make sterling a good footballer"""
1464745655088336898;1638057552000;thesilvermosaic;8;253;False;0;0;0;0;b'Twinkle twinkle all these little stars. Our Stella Dangle Earrings are made completely of .925 sterling silver star jewelry shines like they are supposed to. Leave everyone wondering where you bought these sterling silver star earrings. https://t.co/PHAG24smQZ'
1464745225650331653;1638057450000;Ryanyates10;130;473;False;0;0;1;0;b'@dhawan_kushagra also sterling would be 10x a better signing for you than torres but okay'
1464745082180014086;1638057415000;graninhoUTD;1318;321;False;0;0;0;1;b'@BamfordThings @ReusTouch @Z___187 @PatrykUTD Rashford and Sterling \xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\n\nOthers are debatable'
1464745032318083076;1638057404000;100_MCFC;422;398;False;0;0;0;1;b'@citybyron BRO DO YOU LIKE OR DISLIKE STERLING FFS I CANT KEEP UP\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad YOUR ACTUALLY A PROFESSIONAL TROLL\xf0\x9f\x92\x80\xf0\x9f\x92\x80'
1464744770513915913;1638057341000;mikeclarkbooks;2499;2021;False;0;0;0;0;b'@spooky_sterling @Dead_Headspace @sonorawrites @tjoneswriter @nicobellfiction Thank you sir!'
1464744670966210569;1638057317000;tracychapmanfa1;106;1729;False;0;0;4;1;b'@Just_Sterling @patriottakes @J_Mei21 @AdamParkhomenko The first amendment doesn\xe2\x80\x99t guarantee you a place in congress when you spout off bigoted racist islamaphobic stuff daily'
