id;time;username;follower_count;friend_count;user_verified;retweet_count;quote_count;like_count;reply_count;content
1464745211402375174;1638057446000;AndyMcCrimmon;2033;2486;False;0;0;3;1;b'@PerthshireMags Takes the crown from Suarez claiming handball when the keeper had the audacity to save it'
1464742816496730112;1638056875000;rapidbaldy;643;328;False;0;0;0;2;b'@matti_v2 UCL final goals \n\nComan: 1\nMessi: 1 \nSuarez: 1\nNeymar: 1\nLewandowski: 0 \n\nSpot the impostor'
1464742559784345601;1638056814000;GOWENYT;1889;198;False;0;0;8;1;b'MY SUAREZ DIECAST IS DELAYED UNTIL APRIL https://t.co/wKujPCIXzx'
1464742241486970883;1638056738000;w4nner7489;1965;693;False;0;1;34;2;"b""@NealGardner_ Suarez was finished at 30 while lewa will be on the ballon d'or podium at 33"""
1464742049731727366;1638056692000;matti_v2;524;756;False;0;0;2;2;b'@rapidbaldy Well obviously he plays with bums like coman while suarez played with neymar and suarez'
1464741750669553672;1638056621000;rapidbaldy;643;328;False;0;0;0;1;b'@matti_v2 Lewandowski even with that month wouldn\xe2\x80\x99t reach Suarez\xe2\x80\x99s tally tbh he can never reach the assist numbers'
1464741465590960134;1638056553000;mtahmisian24;807;486;False;0;0;0;0;b'@mauro_suarez @ReturnofR Love it'
1464741304533929985;1638056515000;WiseCuler;71;154;False;0;0;15;1;b'@immortal_717 @cr7raprhymes @MrFilipeOrlando Dead barca team? \nRakitic Busquets Suarez coutinho alba and more LOOL'
1464740522703134726;1638056328000;JoelMatthewOla2;236;354;False;0;0;2;0;b'@MaestroPique Since xavi drops the no 6 jersey, other players taking it have not been successful in that club...\nDenis Suarez\nAlena\nRiqui Puig... I Jst pray this curse breaks before we will lose another wonderful talent'
1464739676246392840;1638056127000;NDurance10;282;279;False;1;0;3;0;b'If you need fodder do the 75+ PP\xe2\x80\x99s. I\xe2\x80\x99ve done less than 10 and pulled:\nAlisson (Handanovic as a choice too)\nSuarez\nJordi Alba\nIF French LM x2 \nAnd the rest were 82-83\xe2\x80\x99s \n\nThey only require 5 golds, 3 of them rares'
1464739629299605516;1638056115000;adylitto;498;1911;False;0;0;0;0;b'In early November, investment expert and business show host Anthony Pompliano asked which American politician would be the first to take their salary in Bitcoin.\nIn response, the Mayor of Miami city, Francis Suarez, expressed his willingness and asked\n\nhttps://t.co/HqAS8mt5q2'
1464739545119920134;1638056095000;CGM0914;697;708;False;0;0;1;0;"b""@pert_brian Go on Merse...!! They've bitten quicker than Luis Suarez in the penalty box.. \xf0\x9f\x98\x81"""
1464739185076707332;1638056009000;HA7_CSTeam;5;3;False;1;0;0;0;b'BLACK FRIDAY SALE 25% OFF USE CODE BLACK FRIDAY\n\n#Pulisic #Ronaldo #AFC #MUFC #CFC #LFC  #PremierLeague #Messi #Neymar #Suarez #CR7 #Mbappe  #Kante #Ad #MoSalah #Klopp #UCL  #Mane #Ajax #PSG #Saka #Zlatan #Haaland  #BlackFriday #Henderson #CPFC #Morata\n\nhttps://t.co/RVP63hBakf'
1464739092764282883;1638055987000;HA7_CSTeam;5;3;False;1;0;0;0;b'BLACK FRIDAY SALE 25% OFF USE CODE BLACK FRIDAY\n\n#Pulisic #Ronaldo #AFC #MUFC #CFC #LFC  #PremierLeague #Messi #Neymar #Suarez #CR7 #Mbappe  #Kante #Ad #MoSalah #Klopp #UCL  #Mane #Ajax #PSG #Saka #Zlatan #Haaland  #BlackFriday #Henderson #CPFC #Morata\n\nhttps://t.co/oHanspNTaX'
1464739002825777152;1638055966000;HA7_CSTeam;5;3;False;1;0;0;0;b'BLACK FRIDAY SALE 25% OFF USE CODE BLACK FRIDAY\n\n#Pulisic #Ronaldo #AFC #MUFC #CFC #LFC  #PremierLeague #Messi #Neymar #Suarez #CR7 #Mbappe  #Kante #Ad #MoSalah #Klopp #UCL  #Mane #Ajax #PSG #Saka #Zlatan #Haaland  #BlackFriday #Henderson #CPFC #Morata\n\nhttps://t.co/mUC9eAQ16a'
